Admission No,Student Name,Mobile No,Course,Subject,Admission Date,Father Name,Mother Name,Father Occupation,DOB,Gender,Category,Subcast,Permanent Address,Present Address,District,State,Domicile,Email,Aadhaar No,Subject 4,Subject 5,Subject 6,Last Exam,Last Exam Year,Last Subject,Last Roll No,Last Enroll No,Board,Total Marks,Obtain Marks,Division,Percentage,Remark
356/11767,ODIKA RAMESH,6928748669,M.Com. (Previous),COMMERCE,15-02-2026,NATHANIEL KRISHNAN,MOHINI KONDA,CONSULTANT,06-08-2000,Female,SC,,"05/759, DUGAR CIRCLE, PHUSRO-484656","H.NO. 44, OOMMEN GANJ, GANDHIDHAM 783933",RAIPUR,C.G.,YES,shererayaan@example.com,476520123855,,,,GRADUATION,2025,COMMERCE,83093391,513940776,HEMCHAND YADAV UNIVERSITY,500,302,FIRST,60.4,
489/27912,DAYITA REGE,4301064119,M.Sc. (Computer Science - Final),COMPUTER,03-03-2026,ARJUN MALHOTRA,KALA BAHRI,DRIVER,03-11-2003,Female,GEN,,"H.NO. 91, SUNDER STREET, BERHAMPORE 003211","49/662, DUBEY GANJ, TIRUPATI-023943",BASTAR,C.G.,NO,pathakdev@example.net,142802322299,,,,GRADUATION,2022,SCIENCE,51744813,217554325,HEMCHAND YADAV UNIVERSITY,500,285,SECOND,57.0,
514/34102,ISHAAN BAHL,2870341398,M.Sc. (Zoology - Previous),ZOOLOGY,21-02-2026,LIAM KHATRI,BARKHA KURIAN,ENGINEER,20-06-2008,Male,SC,,"H.NO. 71, BRAHMBHATT CIRCLE, ALIGARH 023431","31/20, YADAV PATH, CHENNAI-556565",JANJGIR-CHAMPA,C.G.,YES,irajagopal@example.net,322817511960,,,,GRADUATION,2021,SCIENCE,98880388,574149003,CBSE,500,276,SECOND,55.2,
394/46339,JACKSON RAMASWAMY,6647793385,B.Sc. Computer Science,COMPUTER,13-02-2026,MICHAEL LALLA,NISHA CHAKRABARTI,LAWYER,31-10-2001,Male,OBC,,"06, CHADHA NAGAR, TIRUVOTTIYUR-462881","642, RAMACHANDRAN ROAD, NANDYAL-658722",BILASPUR,C.G.,NO,oyadav@example.com,528289783734,,,,12TH,2021,SCIENCE,89855307,982257649,HEMCHAND YADAV UNIVERSITY,500,264,SECOND,52.8,
874/16043,OMYA KAKAR,5029082975,M.Sc. (Physics - Final),PHYSICS,09-03-2026,ONVEER CHAND,KALA BASSI,SHOPKEEPER,15-08-2008,Female,OBC,,"180, MEMON MARG, ICHALKARANJI-736230","20/07, DEWAN PATH, GUDIVADA 760659",BALODA BAZAR,C.G.,YES,hemani61@example.net,696636004767,,,,GRADUATION,2024,SCIENCE,37203410,362320297,HEMCHAND YADAV UNIVERSITY,500,211,THIRD,42.2,
185/28848,YASHODHARA JANI,8655427185,M.Com. (Final),COMMERCE,02-01-2026,THEODORE BAVA,SANAYA KHANNA,CONSULTANT,25-09-2000,Female,ST,,"H.NO. 53, BHARGAVA ZILA, SRIKAKULAM-317227","H.NO. 85, GREWAL NAGAR, BHUBANESWAR 138812",NARAYANPUR,C.G.,YES,kbose@example.org,467493517378,,,,GRADUATION,2021,COMMERCE,41176190,208531452,STATE BOARD,500,309,FIRST,61.8,
462/66109,VRITTI DESHMUKH,9278247495,M.Sc. (Botany - Previous),BOTANY,07-01-2026,ANDREW TRIPATHI,KRITIKA DUGAR,CARPENTER,10-01-2005,Female,OBC,,"H.NO. 87, WALI PATH, ALAPPUZHA 991718","H.NO. 587, PRABHAKAR STREET, SOUTH DUMDUM-717923",RAIGARH,C.G.,YES,zashilchoudhry@example.com,013209809999,,,,GRADUATION,2025,SCIENCE,94085673,671351867,HEMCHAND YADAV UNIVERSITY,500,387,FIRST,77.4,
502/31523,WARJAS LAD,9097223628,B.Sc. Micro Biology,BIOLOGY,14-03-2026,SAI RAJA,WARDA DIVAN,ELECTRICIAN,05-03-2007,Male,GEN,,"09/90, D’ALIA ZILA, BONGAIGAON-719265","10/18, MALL STREET, PUNE-421887",GARIABAND,C.G.,NO,subramanianamrita@example.com,104527920208,,,,12TH,2025,SCIENCE,10187806,540691946,STATE BOARD,500,220,THIRD,44.0,
766/15586,CHANDRAN IYER,5431081959,BBA (Bachelor of Business Administration),MANAGEMENT,30-01-2026,CHAMPAK DANI,MOHINI NATARAJAN,CONSULTANT,09-01-2006,Male,OBC,,"504, BAHRI NAGAR, KARIMNAGAR-376739","H.NO. 599, BORRA STREET, KULTI-279662",BALOD,C.G.,NO,klal@example.net,512968030696,,,,12TH,2025,ARTS,33002758,011675481,STATE BOARD,500,499,FIRST,99.8,
983/19317,ZAID MITAL,6233643339,M.Sc. (Zoology - Final),ZOOLOGY,25-02-2026,UPKAAR DESAI,YASHICA MISHRA,STUDENT,17-11-2004,Male,OBC,,"H.NO. 047, RATTAN ROAD, NAIHATI-027426","57/55, DAS MARG, RAMPUR-998325",BASTAR,C.G.,YES,zaidbajaj@example.org,626694886677,,,,GRADUATION,2023,SCIENCE,72459648,561478952,HEMCHAND YADAV UNIVERSITY,500,475,FIRST,95.0,
894/51203,YAGNESH NAGY,2404405779,M.Sc. (Zoology - Previous),ZOOLOGY,17-02-2026,IKBAL SUNDER,ESHANA KRISHNAN,TEACHER,24-02-2007,Male,OBC,,"78/319, MUKHOPADHYAY PATH, KARAWAL NAGAR 332049","30, PUROHIT PATH, KOCHI-293208",BASTAR,C.G.,YES,darvictor@example.net,213683785789,,,,GRADUATION,2021,SCIENCE,96558306,017060259,STATE BOARD,500,409,FIRST,81.8,
686/79509,REVA DUBEY,3328394557,M.Sc. (Computer Science - Final),COMPUTER,03-02-2026,GIRISH VAIDYA,JALSA SHAN,PLUMBER,19-10-2003,Female,SC,,"234, DIVAN CIRCLE, MALDA 764250","H.NO. 133, DE CHOWK, SIRSA 426342",RAIPUR,C.G.,NO,deshmukhchandani@example.com,165029766471,,,,GRADUATION,2024,SCIENCE,73173961,930788151,STATE BOARD,500,476,FIRST,95.2,
452/51284,CHAKRIKA RATTA,9639642140,M.Sc. (Chemistry - Final),CHEMISTRY,28-02-2026,CHRISTOPHER CHAND,OJASVI WALIA,LAWYER,27-09-2005,Female,OBC,,"293, TAILOR CHOWK, RAIGANJ-399910","25/12, LANKA NAGAR, SASARAM 167036",BALRAMPUR,C.G.,YES,maanavsahni@example.org,763022101701,,,,GRADUATION,2025,SCIENCE,45578186,557814990,HEMCHAND YADAV UNIVERSITY,500,494,FIRST,98.8,
936/83008,OVIYA SULE,2080004437,BBA (Bachelor of Business Administration),MANAGEMENT,07-01-2026,AAYUSH PANT,YASHAWINI KALITA,ENGINEER,18-09-2001,Female,ST,,"H.NO. 69, DE PATH, ORAI 789542","H.NO. 684, KALLA ZILA, SAMBALPUR 954387",BASTAR,C.G.,YES,onisur@example.org,065311497960,,,,12TH,2022,ARTS,13441489,795352589,HEMCHAND YADAV UNIVERSITY,500,403,FIRST,80.6,
817/71139,SHRAVYA PANDYA,6857204210,BBA (Bachelor of Business Administration),MANAGEMENT,08-02-2026,MICHAEL GUHA,DAYITA DADA,BUSINESS,03-05-2007,Female,ST,,"994, KARPE NAGAR, GHAZIABAD-806665","18/235, SRIDHAR PATH, BERHAMPORE-655123",SURGUJA,C.G.,YES,jdubey@example.com,429435208969,,,,12TH,2021,ARTS,22229641,601605757,HEMCHAND YADAV UNIVERSITY,500,290,SECOND,58.0,
247/79961,OMISHA SABHARWAL,9686703676,M.Sc. (Zoology - Previous),ZOOLOGY,15-03-2026,KRISH SABHARWAL,YAUVANI PATLA,FREELANCER,23-02-2006,Female,SC,,"H.NO. 42, KUNDA ROAD, NANDED 743445","H.NO. 40, MITAL GANJ, AVADI-682550",DURG,C.G.,NO,banjeet67@example.com,555182098321,,,,GRADUATION,2021,SCIENCE,23391770,361342270,CBSE,500,352,FIRST,70.4,
988/65982,MEGHANA PANDEY,9065778174,M.Sc. (Mathematics - Final),MATHEMATICS,11-01-2026,KALPIT RAO,UPASNA RANGANATHAN,PRIVATE JOB,03-04-2006,Female,ST,,"236, PILLAY STREET, BUXAR 930313","62, GULATI STREET, JAMNAGAR-361805",SURGUJA,C.G.,NO,hayreradha@example.org,186199369732,,,,GRADUATION,2020,SCIENCE,50137106,817029645,CBSE,500,485,FIRST,97.0,
975/12984,JAGVI SUR,7992690380,B.Lib (Bachelor of Library Science),LIBRARY SCIENCE,07-01-2026,JATIN DHILLON,MAHIKA MANGAT,SELF EMPLOYED,03-12-2001,Female,OBC,,"00/98, BALA CIRCLE, GIRIDIH-674069","38, AGATE CHOWK, REWA 539101",NARAYANPUR,C.G.,YES,varenyagrewal@example.org,595902529331,,,,12TH,2025,ARTS,77608878,050026561,STATE BOARD,500,317,FIRST,63.4,
410/88738,FARAJ MORE,9893309317,B.A.,ARTS,19-01-2026,ELIJAH SESHADRI,EIRAVATI KADAKIA,TEACHER,23-03-2002,Male,OBC,,"52/23, SEKHON GANJ, SAMBHAL-880385","H.NO. 23, SHUKLA ZILA, ALWAR 572423",SUKMA,C.G.,YES,chaitanyavaidya@example.net,523345660624,,,,12TH,2022,ARTS,03572554,881949633,HEMCHAND YADAV UNIVERSITY,500,375,FIRST,75.0,
730/28023,ANSH BAWA,5571686330,B.Sc. (Biology),BIOLOGY,07-02-2026,BALVAN VARUGHESE,ODIKA GOPAL,ELECTRICIAN,22-04-2004,Male,OBC,,"76, BAJAJ MARG, MUZAFFARNAGAR 798787","H.NO. 56, GOSWAMI MARG, DEHRI-439674",BALODA BAZAR,C.G.,YES,qadimbobal@example.org,316754581597,,,,12TH,2021,SCIENCE,14709914,931171064,STATE BOARD,500,352,FIRST,70.4,
510/33054,NAKSH BALAKRISHNAN,1562762952,M.Sc. (Computer Science - Previous),COMPUTER,25-01-2026,FARAJ KAR,HARITA DUGAL,TEACHER,10-02-2001,Male,ST,,"H.NO. 09, PRAKASH CIRCLE, NADIAD-487765","206, DEVI NAGAR, RAEBARELI 814098",NARAYANPUR,C.G.,NO,udube@example.org,855264411486,,,,GRADUATION,2022,SCIENCE,59223072,930661513,HEMCHAND YADAV UNIVERSITY,500,202,THIRD,40.4,
495/23231,BRIJESH WAGLE,4038215117,M.Sc. (Botany - Final),BOTANY,19-03-2026,NAVEEN WALIA,NIRJA KANNAN,ARMY PERSONNEL,11-10-2003,Male,OBC,,"05/259, SHETTY ZILA, JAIPUR-443813","53, VIRK MARG, LONI-473427",BALRAMPUR,C.G.,NO,ektadixit@example.com,226300613767,,,,GRADUATION,2021,SCIENCE,91792620,308936600,HEMCHAND YADAV UNIVERSITY,500,333,FIRST,66.6,
393/74466,AASHI GOPAL,1429111121,M.Sc. (Botany - Previous),BOTANY,15-03-2026,KARAN PATEL,ARADHANA SAHOTA,TEACHER,23-04-2008,Female,SC,,"67, MANNAN CHOWK, BILASPUR-983655","04/305, MAHAJAN MARG, CHANDIGARH-261882",BEMETARA,C.G.,YES,nrau@example.com,291023027470,,,,GRADUATION,2021,SCIENCE,37319397,703776671,CBSE,500,292,SECOND,58.4,
951/13438,PRIYA SRINIVASAN,7912975782,M.Sc. (Zoology - Final),ZOOLOGY,06-03-2026,OM DEOL,DIYA KUMAR,BUSINESS,26-06-2000,Female,SC,,"H.NO. 27, BORRA ZILA, SHIMOGA 073681","55, SACHAR ZILA, BEGUSARAI 484175",BIJAPUR,C.G.,NO,ayaanbandi@example.net,073699958708,,,,GRADUATION,2020,SCIENCE,29267911,598040477,STATE BOARD,500,281,SECOND,56.2,
675/81350,TANAY TELLA,5517692442,B.Sc. (Biology),BIOLOGY,25-02-2026,AADI MUKHOPADHYAY,EIRAVATI SHETTY,TEACHER,20-02-2003,Male,SC,,"458, WALI ZILA, MANGALORE-665133","H.NO. 36, GOLA MARG, MAU 567417",BASTAR,C.G.,YES,netra99@example.org,087173356168,,,,12TH,2024,SCIENCE,45030548,658051630,STATE BOARD,500,382,FIRST,76.4,
975/70201,YAGNESH VARKEY,2413637013,M.Sc. (Zoology - Previous),ZOOLOGY,01-03-2026,HENRY BASSI,AVNI MANDER,FARMER,23-06-2003,Male,SC,,"682, KAKAR PATH, VIJAYAWADA-969715","59/985, PAI MARG, KHARAGPUR-237701",BALOD,C.G.,YES,anthonyanne@example.com,548968342929,,,,GRADUATION,2023,SCIENCE,41102078,952983393,HEMCHAND YADAV UNIVERSITY,500,331,FIRST,66.2,
720/13923,UMANG BANIK,9472566977,B.Com.,COMMERCE,11-03-2026,RANBIR BOSE,IJAYA KAUL,ARMY PERSONNEL,01-08-2000,Male,ST,,"340, BADAL MARG, TADEPALLIGUDEM-511752","55/61, BOASE PATH, ETAWAH 903456",GARIABAND,C.G.,YES,sachdeveesha@example.net,271634067993,,,,12TH,2021,COMMERCE,20924091,764834044,HEMCHAND YADAV UNIVERSITY,500,227,SECOND,45.4,
281/52746,UBIKA DANI,3558686897,M.Sc. (Mathematics - Previous),MATHEMATICS,22-01-2026,BALJIWAN RAMACHANDRAN,YOCHANA MITRA,SHOPKEEPER,02-12-2001,Female,SC,,"H.NO. 65, VARKEY ROAD, BETTIAH 524257","81, RANDHAWA CHOWK, AJMER 135711",RAIPUR,C.G.,NO,dakshesh66@example.net,677569658970,,,,GRADUATION,2025,SCIENCE,10246614,855654512,STATE BOARD,500,446,FIRST,89.2,
552/93412,CHARVI BORRA,2133308720,M.Sc. (Zoology - Final),ZOOLOGY,01-02-2026,RONITH KANDA,BIMALA DHAR,FREELANCER,28-07-2008,Female,OBC,,"H.NO. 73, NATT MARG, TUMKUR-130195","64/113, SAMA ROAD, TINSUKIA 279046",DURG,C.G.,NO,eshanamandal@example.org,663872998461,,,,GRADUATION,2022,SCIENCE,75093893,607579007,STATE BOARD,500,411,FIRST,82.2,
483/61903,URVI DUGAR,7435593692,B.A.,ARTS,17-01-2026,BENJAMIN KARAN,BHAVIKA DASH,FARMER,14-01-2001,Female,SC,,"96/11, SWAMINATHAN CIRCLE, DHARMAVARAM-318063","54, ACHARYA, GUDIVADA-104659",BALODA BAZAR,C.G.,YES,devansh57@example.org,911017289560,,,,12TH,2021,ARTS,91509824,608316874,CBSE,500,333,FIRST,66.6,
406/86202,RIDHI DOSHI,3800003447,BBA (Bachelor of Business Administration),MANAGEMENT,06-03-2026,WARJAS BANERJEE,VRISHTI SATHE,ARMY PERSONNEL,01-02-2003,Female,OBC,,"64, DORA ROAD, LATUR-458413","63/57, DADA GANJ, SILIGURI-048379",KORBA,C.G.,YES,yamininagi@example.net,053365084260,,,,12TH,2021,ARTS,63572992,843595308,CBSE,500,334,FIRST,66.8,
466/68376,RAAGINI BRAR,8016448456,B.Sc. Biotechnology,-,31-01-2026,CHAKRADHAR GOLLA,PALLAVI REGE,PRIVATE JOB,11-06-2008,Female,GEN,,"69/23, VASA, HARIDWAR-070508","H.NO. 32, GHOSH STREET, FIROZABAD 010779",BALRAMPUR,C.G.,YES,samiayushman@example.org,782842643242,,,,12TH,2024,SCIENCE,83637071,757331036,CBSE,500,441,FIRST,88.2,
548/59264,RAYAAN MURTHY,5043056251,B.Sc. Biotechnology,-,23-02-2026,ANAY RAMACHANDRAN,URMI RAMASWAMY,CONSULTANT,24-04-2001,Male,ST,,"23/862, OOMMEN PATH, SIKAR-834661","16/74, RAMA, PONDICHERRY 379574",DURG,C.G.,NO,raksha74@example.org,892289085974,,,,12TH,2021,SCIENCE,95535888,786867568,CBSE,500,338,FIRST,67.6,
276/14496,UTKARSH ATWAL,8062075687,B.Sc. IT (Information Technology),COMPUTER,07-01-2026,GABRIEL BALA,BRINDA NAGY,DRIVER,27-01-2007,Male,ST,,"85/826, OM NAGAR, LUCKNOW-736880","H.NO. 55, SARKAR MARG, TADIPATRI-901277",RAJNANDGAON,C.G.,NO,cagarwal@example.org,566602272096,,,,12TH,2024,SCIENCE,60298232,346332870,CBSE,500,331,FIRST,66.2,
844/82211,CHAITANYA AMBLE,8414129358,B.Sc. Biotechnology,-,14-03-2026,ADVAY MITRA,LADLI BATRA,TEACHER,22-11-2001,Male,OBC,,"263, THAMAN STREET, GWALIOR 219351","65/60, KUNDA PATH, AMBARNATH-481804",RAJNANDGAON,C.G.,NO,anirudh00@example.net,788495602240,,,,12TH,2020,SCIENCE,43112467,210643918,CBSE,500,334,FIRST,66.8,
774/52000,TURVI LATA,7642427214,BCA (Bachelor of Computer Applications),COMPUTER,25-02-2026,VEER KHOSLA,AMRUTA UPADHYAY,ARMY PERSONNEL,10-02-2009,Female,ST,,"61/55, BHATIA GANJ, LUCKNOW-049712","68/93, BUCH CIRCLE, NAVI MUMBAI-594339",BASTAR,C.G.,YES,wardasibal@example.net,662438714109,,,,12TH,2023,ARTS,14436747,548843580,CBSE,500,395,FIRST,79.0,
787/24666,KEVIN BANIK,3447051512,M.Sc. (Mathematics - Final),MATHEMATICS,21-01-2026,GAVIN DHAWAN,BIMALA BALAN,BUSINESS,21-06-2006,Male,ST,,"H.NO. 499, KALLA PATH, ULUBERIA 187539","11/05, YADAV CIRCLE, HAPUR 691302",KONDAGAON,C.G.,NO,madhavthakur@example.net,274580650341,,,,GRADUATION,2020,SCIENCE,19811707,711222352,HEMCHAND YADAV UNIVERSITY,500,399,FIRST,79.8,
359/18328,MATTHEW KOHLI,1740331762,M.Com. (Final),COMMERCE,14-03-2026,OLIVER BHARDWAJ,NIRJA RADHAKRISHNAN,RETIRED,06-10-2006,Male,GEN,,"071, HARI, TINSUKIA 306906","01/09, KRISHNAN CHOWK, VIJAYANAGARAM-141171",BIJAPUR,C.G.,NO,memonsudiksha@example.org,102638514666,,,,GRADUATION,2023,COMMERCE,38507324,884651285,STATE BOARD,500,355,FIRST,71.0,
666/10967,ADVIK SHAH,4691119531,M.Sc. (Botany - Previous),BOTANY,06-02-2026,REHAAN HAYRE,FORUM GOEL,CARPENTER,18-01-2007,Male,ST,,"617, KUMER NAGAR, PHAGWARA-848600","H.NO. 79, UPADHYAY MARG, FARIDABAD 998583",KOREA,C.G.,YES,saggarwal@example.org,121037198090,,,,GRADUATION,2021,SCIENCE,33401040,484715418,STATE BOARD,500,246,SECOND,49.2,
175/27433,VRINDA KARI,6645336724,B.Lib (Bachelor of Library Science),LIBRARY SCIENCE,07-03-2026,BENJAMIN BARIA,YASTI SUBRAMANIAM,GOVT EMPLOYEE,06-10-2008,Female,SC,,"H.NO. 82, VORA NAGAR, KOCHI-041425","93, BUCH, JAIPUR-806671",KONDAGAON,C.G.,NO,jeremiah78@example.com,555147702447,,,,12TH,2025,ARTS,47161764,517528669,HEMCHAND YADAV UNIVERSITY,500,424,FIRST,84.8,
734/73245,LABAN ANAND,6350735903,M.Sc. (Botany - Previous),BOTANY,14-03-2026,DAVID BHAKTA,YASTI MANGAL,DRIVER,21-06-2000,Male,ST,,"H.NO. 916, SOM STREET, AMRITSAR 541820","49/23, HAYRE STREET, ORAI 576495",KORBA,C.G.,NO,dbala@example.com,592883223350,,,,GRADUATION,2024,SCIENCE,85454030,035976821,CBSE,500,420,FIRST,84.0,
538/83532,KAMALA VORA,0976922973,M.Sc. (Mathematics - Final),MATHEMATICS,15-01-2026,FARAJ SHROFF,RADHA RATTAN,NURSE,29-05-2006,Female,OBC,,"H.NO. 46, THAKKAR CHOWK, CHITTOOR 925346","37, HORA CHOWK, KARNAL-703882",BEMETARA,C.G.,NO,ramachandranmanbir@example.com,126750532715,,,,GRADUATION,2023,SCIENCE,40883145,261374525,STATE BOARD,500,232,SECOND,46.4,
994/95735,NATHANIEL KIBE,9908078284,PGDCA (Post Graduate Diploma in Computer Applications),COMPUTER,05-02-2026,MANAN PALLA,VRISHTI PATLA,SELF EMPLOYED,01-12-2003,Male,OBC,,"69/173, LATA CIRCLE, UDUPI-237468","09, SURA STREET, DEOGHAR-683729",BEMETARA,C.G.,YES,pdhingra@example.net,413733000679,,,,GRADUATION,2022,ARTS,68391304,566517679,CBSE,500,366,FIRST,73.2,
958/83917,NIKITA MURTY,7649083489,M.Sc. (Botany - Previous),BOTANY,03-01-2026,EKAVIR RAI,CHAMAN TAILOR,SELF EMPLOYED,26-05-2007,Female,ST,,"H.NO. 40, MERCHANT NAGAR, AMRITSAR 082501","00, SARKAR MARG, BHIWANDI 093793",JANJGIR-CHAMPA,C.G.,NO,leelanatt@example.net,268778790781,,,,GRADUATION,2023,SCIENCE,93293930,025371857,STATE BOARD,500,306,FIRST,61.2,
831/88112,NEELIMA BAHRI,5926899945,B.Sc. Micro Biology,BIOLOGY,01-02-2026,YASH GABA,HEMA GULATI,LAWYER,12-02-2002,Female,OBC,,"93/436, BHATT STREET, BUXAR-511607","04/30, MORE PATH, SERAMPORE 029951",SUKMA,C.G.,YES,reyansh03@example.net,448003510261,,,,12TH,2022,SCIENCE,47946176,454172852,CBSE,500,341,FIRST,68.2,
134/31959,DALBIR DUA,7568510371,B.Sc. Micro Biology,BIOLOGY,18-03-2026,ANMOL MAMMEN,CHARVI BALAN,DOCTOR,08-09-2001,Male,ST,,"70/430, BERA ROAD, DANAPUR-438476","30/18, DEY CIRCLE, JEHANABAD-221464",BALODA BAZAR,C.G.,NO,sagarpriya@example.net,434095104184,,,,12TH,2022,SCIENCE,56703818,203745959,HEMCHAND YADAV UNIVERSITY,500,394,FIRST,78.8,
380/36500,VRINDA HAYER,9622063726,B.Sc. Micro Biology,BIOLOGY,27-02-2026,UTKARSH RAJAN,PRIYA VENKATARAMAN,RETIRED,13-03-2007,Female,OBC,,"28/67, KHANNA PATH, GANGTOK 124622","37, SANKAR ZILA, KHAMMAM 003288",KANKER,C.G.,NO,samesh84@example.net,525852914722,,,,12TH,2023,SCIENCE,23661735,674484982,STATE BOARD,500,350,FIRST,70.0,
171/57071,PALLAVI SAMRA,7746211475,M.Sc. (Physics - Previous),PHYSICS,03-03-2026,ZASHIL RAMAKRISHNAN,OMYA BALAN,PLUMBER,15-05-2004,Female,OBC,,"H.NO. 33, DEVAN PATH, SINGRAULI 150277","69/364, PANCHAL NAGAR, ALIGARH 201051",KANKER,C.G.,YES,kallaaryan@example.net,986056926929,,,,GRADUATION,2021,SCIENCE,75890032,089616101,HEMCHAND YADAV UNIVERSITY,500,231,SECOND,46.2,
396/72126,ZAYAN MURTHY,6571926495,B.Lib (Bachelor of Library Science),LIBRARY SCIENCE,15-01-2026,ATHARV SARKAR,YOSHITA ACHARYA,DOCTOR,11-10-2006,Male,GEN,,"H.NO. 762, HALDER CIRCLE, NANDED 585471","98/503, SANGHVI ZILA, MAU-554891",BALOD,C.G.,YES,nkhosla@example.com,338231229895,,,,12TH,2022,ARTS,52513435,492189650,STATE BOARD,500,257,SECOND,51.4,
646/41652,SARTHAK NARULA,4369412350,B.A.,ARTS,20-02-2026,MATTHEW VORA,ETA MAHAL,CARPENTER,26-10-2001,Male,SC,,"29/09, CHAND NAGAR, TUMKUR 944773","H.NO. 953, OM ROAD, VARANASI 715110",NARAYANPUR,C.G.,NO,ghans@example.net,670570484113,,,,12TH,2022,ARTS,22086424,658983555,STATE BOARD,500,427,FIRST,85.4,
618/65481,XALAK BERA,1566003098,M.Sc. (Mathematics - Final),MATHEMATICS,19-02-2026,HARRISON KATA,AASHI SURA,PRIVATE JOB,05-11-2000,Female,OBC,,"H.NO. 623, KAKAR, JEHANABAD 682887","H.NO. 58, BHAGAT CIRCLE, MADHYAMGRAM 035296",KANKER,C.G.,NO,cherianzayan@example.org,608352567638,,,,GRADUATION,2024,SCIENCE,11354586,455125704,HEMCHAND YADAV UNIVERSITY,500,338,FIRST,67.6,
352/59598,LUKE SOOD,9809706354,M.Sc. (Botany - Final),BOTANY,12-02-2026,TIMOTHY CHOUDHRY,JYOTI MERCHANT,ELECTRICIAN,09-08-2007,Male,ST,,"40, AHUJA PATH, NAGPUR-322262","12, SAMA GANJ, BALLY 939715",BALODA BAZAR,C.G.,NO,janaki77@example.com,581304880743,,,,GRADUATION,2021,SCIENCE,32598927,252454869,STATE BOARD,500,356,FIRST,71.2,
280/99336,AASHI MAJUMDAR,4430450617,M.Sc. (Computer Science - Previous),COMPUTER,17-03-2026,JAGAT KOHLI,ANAMIKA NANDA,NURSE,26-10-2002,Female,SC,,"57, BHAT NAGAR, HINDUPUR 474349","88/532, BAIL ZILA, IMPHAL 173006",BIJAPUR,C.G.,NO,nitarawarrior@example.net,626128498812,,,,GRADUATION,2024,SCIENCE,88503212,368378646,STATE BOARD,500,371,FIRST,74.2,
793/53192,KALPIT GOLA,2215623930,BAJMC (Bachelor of Arts in Journalism & Mass Communication),COMMERCE,12-03-2026,BAKHSHI GANESAN,UNNATI DATTA,POLICE,09-09-2001,Male,SC,,"33/065, BAKSHI NAGAR, ROHTAK 602627","420, MANE NAGAR, TEZPUR 784329",RAIGARH,C.G.,NO,yachanamohan@example.org,026270168209,,,,12TH,2022,ARTS,06279240,036647600,STATE BOARD,500,281,SECOND,56.2,
770/59271,FREDERICK BADAL,2105862897,M.Com. (Previous),COMMERCE,24-02-2026,ISAAC OOMMEN,UDYATI MISTRY,SHOPKEEPER,27-02-2008,Male,ST,,"42, WALLA NAGAR, SAHARSA 878406","H.NO. 90, KAPOOR, BANGALORE 485017",RAJNANDGAON,C.G.,NO,xbaral@example.org,256187286528,,,,GRADUATION,2025,COMMERCE,83199352,755595607,HEMCHAND YADAV UNIVERSITY,500,432,FIRST,86.4,
181/62114,INDIRA BORRA,3438086127,M.Sc. (Botany - Previous),BOTANY,16-01-2026,ARIN BHAGAT,UCCHAL MUKHERJEE,CARPENTER,18-10-2005,Female,OBC,,"95/03, SARMA, AMBALA-615413","766, KHURANA CHOWK, JHANSI 592088",BEMETARA,C.G.,NO,nilima70@example.net,257102474576,,,,GRADUATION,2022,SCIENCE,98894086,737186500,STATE BOARD,500,442,FIRST,88.4,
446/38584,JACOB KUMER,6523273167,M.Sc. (Botany - Previous),BOTANY,04-03-2026,BALVAN BHAGAT,MANYA SANDHU,LAWYER,30-06-2001,Male,SC,,"H.NO. 25, THAKER NAGAR, SINGRAULI-719532","81/404, MEMON PATH, AMBATTUR-901344",MAHASAMUND,C.G.,NO,prisha51@example.com,719507540075,,,,GRADUATION,2024,SCIENCE,28648432,023367258,CBSE,500,212,THIRD,42.4,
401/53342,JACKSON BHATTACHARYYA,0248351263,M.A. (Previous),ARTS,11-01-2026,BALENDRA RAMA,CHASMUM TANDON,CONSULTANT,30-09-2007,Male,SC,,"52/84, PADMANABHAN CIRCLE, DELHI 314491","33/51, MEMON PATH, BULANDSHAHR 345964",BASTAR,C.G.,YES,dasguptaedhitha@example.org,244249422101,,,,GRADUATION,2025,ARTS,27227736,565887860,HEMCHAND YADAV UNIVERSITY,500,298,SECOND,59.6,
861/13238,WAKEETA GARDE,5079407308,M.Sc. (Computer Science - Final),COMPUTER,17-01-2026,WILLIAM BHARDWAJ,YASHODA RANA,ARTIST,02-10-2003,Female,OBC,,"50/001, YADAV GANJ, GUWAHATI 883053","41, DASS CIRCLE, PIMPRI-CHINCHWAD 382527",JANJGIR-CHAMPA,C.G.,NO,cbrahmbhatt@example.org,365682902761,,,,GRADUATION,2020,SCIENCE,93570609,689756903,STATE BOARD,500,245,SECOND,49.0,
196/34420,ABEER KAPOOR,9737271047,B.Com.,COMMERCE,14-01-2026,DALBIR COMAR,ANYA LOYAL,DRIVER,16-09-2007,Male,SC,,"50/997, PARMER ROAD, BHOPAL-665729","52/99, JAYARAMAN NAGAR, KHAMMAM 121453",BASTAR,C.G.,NO,chaudhryaarini@example.net,110633104136,,,,12TH,2022,COMMERCE,53878923,119238027,STATE BOARD,500,491,FIRST,98.2,
